i18n.ru                             	ISO_639-1	ISO_639-2	ISO_639-3  	GOST-7.75–97-lat	GOST-7.75–97-cyr    	code
Эвондо                              	         	ewo      	ewo        	ewo             	эво                 	832
Экаджук                             	         	eka      	eka        	eka             	эка                 	833
Эламский                            	         	elx      	elx        	elx             	эла                 	834
Эрзянский                           	         	myv      	myv        	erz             	эрз                 	835
Эсперанто                           	eo       	epo      	epo        	epo             	эсп                 	845
Эстонский                           	et       	est      	est        	est             	эст                 	850
Эфик                                	         	efi      	efi        	efi             	эфи                 	852
Яванский                            	jv       	jav/jaw  	jav        	jav/jaw         	ява                 	860
Якутский (Саха)                     	         	sah      	sah        	sah             	яку                 	865
Яо                                  	         	yao      	yao        	yao             	яоа                 	867
Яп                                  	         	yap      	yap        	yap             	япа                 	868
Японский                            	ja       	jpn      	jpn        	jpn             	япо                 	870
