i18n.ru                                            	ISO_3166-1.Alpha-2	ISO_3166-1.Alpha-3	ISO_3166-1	ISO_3166-2
Тунис                                              	TN                	TUN               	788       	TN
Туркмения                                          	TM                	TKM               	795       	TM
Турция                                             	TR                	TUR               	792       	TR
Уганда                                             	UG                	UGA               	800       	UG
Узбекистан                                         	UZ                	UZB               	860       	UZ
Украина                                            	UA                	UKR               	804       	UA
Уоллис и Футуна                                    	WF                	WLF               	876       	WF
Уругвай                                            	UY                	URY               	858       	UY
Фареры                                             	FO                	FRO               	234       	FO
Фиджи                                              	FJ                	FJI               	242       	FJ
Филиппины                                          	PH                	PHL               	608       	PH
Финляндия                                          	FI                	FIN               	246       	FI
Фолклендские острова                               	FK                	FLK               	238       	FK
Франция                                            	FR                	FRA               	250       	FR
Французская Полинезия                              	PF                	PYF               	258       	PF
Французские Южные и Антарктические Территории      	TF                	ATF               	260       	TF
Херд и Макдональд                                  	HM                	HMD               	334       	HM
Хорватия                                           	HR                	HRV               	191       	HR
ЦАР                                                	CF                	CAF               	140       	CF
Чад                                                	TD                	TCD               	148       	TD
Черногория                                         	ME                	MNE               	499       	ME
Чехия                                              	CZ                	CZE               	203       	CZ
Чили                                               	CL                	CHL               	152       	CL
Швейцария                                          	CH                	CHE               	756       	CH
Швеция                                             	SE                	SWE               	752       	SE
Шпицберген и Ян-Майен                              	SJ                	SJM               	744       	SJ
Шри-Ланка                                          	LK                	LKA               	144       	LK
Эквадор                                            	EC                	ECU               	218       	EC
Экваториальная Гвинея                              	GQ                	GNQ               	226       	GQ
Эритрея                                            	ER                	ERI               	232       	ER
Эстония                                            	EE                	EST               	233       	EE
Эфиопия                                            	ET                	ETH               	231       	ET
ЮАР                                                	ZA                	ZAF               	710       	ZA
Южная Георгия и Южные Сандвичевы Острова           	GS                	SGS               	239       	GS
Южный Судан                                        	SS                	SSD               	728       	SS
Ямайка                                             	JM                	JAM               	388       	JM
Япония                                             	JP                	JPN               	392       	JP
