kind_to	source_to	key_to	relation_kind	kind_from	source_from	key_from	time_source
instance	nlr	012085351	hasItem	item	nlr	012085351	2019-12-17 12:00:00
instance	nlr	012085332	hasItem	item	nlr	012085332	2019-12-17 12:00:00
instance	nlr	012085369	hasItem	item	nlr	012085369	2019-12-17 12:00:00
instance	nlr	012085339	hasItem	item	nlr	012085339	2019-12-17 12:00:00
instance	nlr	012048818	hasItem	item	nlr	012048818	2019-12-17 12:00:00
instance	nlr	012085342	hasItem	item	nlr	012085342	2019-12-17 12:00:00
instance	nlr	012085420	hasItem	item	nlr	012085420	2019-12-17 12:00:00
instance	nlr	012085416	hasItem	item	nlr	012085416	2019-12-17 12:00:00
instance	nlr	012085417	hasItem	item	nlr	012085417	2019-12-17 12:00:00
instance	nlr	012085441	hasItem	item	nlr	012085441	2019-12-17 12:00:00
instance	nlr	012085341	hasItem	item	nlr	012085341	2019-12-17 12:00:00
instance	nlr	011433649	hasItem	item	nlr	011433649	2019-12-17 12:00:00
instance	nlr	012085411	hasItem	item	nlr	012085411	2019-12-17 12:00:00
instance	nlr	012049168	hasItem	item	nlr	012049168	2019-12-17 12:00:00
instance	nlr	012085366	hasItem	item	nlr	012085366	2019-12-17 12:00:00
instance	nlr	012085392	hasItem	item	nlr	012085392	2019-12-17 12:00:00
instance	nlr	012049181	hasItem	item	nlr	012049181	2019-12-17 12:00:00
instance	nlr	011764402	hasItem	item	nlr	011764402	2019-12-17 12:00:00
instance	nlr	012085439	hasItem	item	nlr	012085439	2019-12-17 12:00:00
instance	nlr	012049183	hasItem	item	nlr	012049183	2019-12-17 12:00:00
instance	nlr	012085355	hasItem	item	nlr	012085355	2019-12-17 12:00:00
instance	nlr	011433654	hasItem	item	nlr	011433654	2019-12-17 12:00:00
instance	nlr	012085438	hasItem	item	nlr	012085438	2019-12-17 12:00:00
instance	nlr	012049182	hasItem	item	nlr	012049182	2019-12-17 12:00:00
instance	nlr	011433641	hasItem	item	nlr	011433641	2019-12-17 12:00:00
instance	nlr	012049179	hasItem	item	nlr	012049179	2019-12-17 12:00:00
instance	nlr	012085475	hasItem	item	nlr	012085475	2019-12-17 12:00:00
instance	nlr	012085474	hasItem	item	nlr	012085474	2019-12-17 12:00:00
instance	nlr	012049180	hasItem	item	nlr	012049180	2019-12-17 12:00:00
instance	nlr	011764397	hasItem	item	nlr	011764397	2019-12-17 12:00:00
instance	nlr	012085380	hasItem	item	nlr	012085380	2019-12-17 12:00:00
instance	nlr	012048988	hasItem	item	nlr	012048988	2019-12-17 12:00:00
instance	nlr	012048992	hasItem	item	nlr	012048992	2019-12-17 12:00:00
instance	nlr	012085381	hasItem	item	nlr	012085381	2019-12-17 12:00:00
instance	nlr	012085433	hasItem	item	nlr	012085433	2019-12-17 12:00:00
instance	nlr	012085376	hasItem	item	nlr	012085376	2019-12-17 12:00:00
instance	nlr	012048990	hasItem	item	nlr	012048990	2019-12-17 12:00:00
instance	nlr	011433667	hasItem	item	nlr	011433667	2019-12-17 12:00:00
