kind_from	source_from	key_from	relation_kind	kind_to	source_to	key_to
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10296
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10297
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10298
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10292
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10295
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10293
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10294
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10303
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10304
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10306
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10308
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10309
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10311
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10313
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10317
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10319
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10325
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10322
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10328
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10332
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10335
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10337
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10338
