key_to	source_to	time_sys	kind_to	relation_kind	kind_from	source_from	key_from
/kp/rumorgb/rsl01002986502.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986502
/kp/rumorgb/rsl01002986503.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986503
/kp/rumorgb/rsl01002986504.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986504
/kp/rumorgb/rsl01002986506.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986506
/kp/rumorgb/rsl01002986507.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986507
/kp/rumorgb/rsl01002986510.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986510
/kp/rumorgb/rsl01002986511.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986511
/kp/rumorgb/rsl01002986512.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986512
/kp/rumorgb/rsl01002986513.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986513
/kp/rumorgb/rsl01002986514.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986514
/kp/rumorgb/rsl01002986515.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986515
/kp/rumorgb/rsl01002986516.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986516
/kp/rumorgb/rsl01002986517.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986517
/kp/rumorgb/rsl01002986518.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986518
/kp/rumorgb/rsl01002986519.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986519
/kp/rumorgb/rsl01002986522.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986522
